id,applicable_to,name,description,sy,year_level_id,tuition_per_hr,assessment_total
GZ0B2324,B23,G12 Old  ID No 23,Grade 12 Old ID No. 23,2024,GZ,0,32000
GZLE2324,B23,G12 Early Loyal  ID No 23,Grade 12 Early Loyal ID No. 23,2024,GZ,0,26000
GZER2324,B23,G12 Early ID No. 23,Grade 12 Early ID No. 23,2024,GZ,0,29000
GYNSTM24,STM,G11 New STEM ID No. 24,Grade 11 New STEM ID No. 24,2024,GY,0,45925
GYESTM24,STM,G11 Early STEM ID No. 24,Grade 11 Early STEM ID No. 24,2024,GY,0,42925
GYLSTM24,STM,G11 Early Loyal  ID No 23,Grade 11 Early Loyal ID No. 23,2024,GY,0,39925
GYNABH24,NEW,G11 New ABM HUMSS ID No. 24,Grade 11 New ABM HUMSS ID No. 24,2024,GY,0,45925
GYEABH24,NEW,G11 Early ABM HUMSS ID No. 24,Grade 11 Early ABM HUMSS ID No. 24,2024,GY,0,42925
GYLABM24,NEW,G11 Early Loyal ABM HUMSS ID No. 24,Grade 11 Early Loyal ABM HUMSS ID No. 24,2024,GY,0,39925
