"id","tuition_id","scheme_id","order","total_amount","variance_amount","variance_type","created","modifie"
203,G07NEW24,ESC,1,31255.00,-9000.00,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
205,G07NEW24,MONT,3,40255.00,,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
206,G07ERG24,ESC,1,28225.00,-9000.00,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
208,G07ERG24,MONT,3,37225.00,,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
209,G07ERP24,PUB,1,25255.00,-9000.00,PESO,"2024-02-07 12:45:21","2024-02-07 01:23:45"
210,G07ERP24,MONT,3,34225.00,,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
213,G07FPS24,PUB,1,28225.00,-9000.00,PESO,"2024-02-07 12:45:21","2024-02-07 01:23:45"
214,G07FPS24,MONT,3,37225.00,,PESO,"2024-02-07 01:23:45","2024-02-07 01:23:45"
